Number,title,artist,altered genre,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,decade
29,The Winner Takes It All,ABBA,pop,europop,1946.5,33.5,1980,126,79,45,-7,9,52,295,57,4,72,1980
30,Smalltown Boy,Bronski Beat,rock,dance rock,1958.5,25.5,1984,135,58,69,-11,12,94,302,29,3,71,1980
31,(I Just) Died In Your Arms,Cutting Crew,rock,album rock,1951,35,1986,125,73,63,-11,6,51,280,2,4,71,1980
32,Brothers In Arms,Dire Straits,rock,album rock,1949.5,35.5,1985,79,30,41,-14,18,14,424,53,3,71,1980
33,Glory of Love,Peter Cetera,adult standards,adult standards,1944,42,1986,145,59,52,-8,31,31,258,8,3,71,1980
34,Super Trouper,ABBA,pop,europop,1946.5,33.5,1980,118,63,76,-8,20,96,253,46,3,70,1980
35,Flashdance...What a Feeling - Radio Edit,Irene Cara,rock,dance rock,1959,24,1983,122,65,57,-7,9,40,237,1,3,70,1980
36,Every Time You Go Away - Radio Edit,Paul Young,rock,album rock,1956,35,1991,164,72,57,-9,22,84,267,19,4,70,1980
37,Self Control,Laura Branigan,rock,dance rock,1952,32,1984,107,69,81,-12,16,78,246,22,3,70,1980
38,Say You Say Me,Lionel Richie,adult standards,adult standards,1949,37,1986,128,41,64,-11,8,26,241,36,3,70,1980
39,Heaven Is a Place on Earth,Belinda Carlisle,dance pop,dance pop,1958,29,1987,123,85,64,-8,5,79,247,2,3,70,1980
40,I Want To Break Free - Remastered 2011,Queen,rock,glam rock,1948,36,1984,109,41,88,-11,12,78,199,8,4,70,1980
41,Arthur's Theme (Best That You Can Do),Christopher Cross,adult standards,adult standards,1951,30,1981,137,52,53,-11,18,52,234,17,4,70,1980
42,Carrie,Europe,rock,album rock,1963.333333,22.66666667,1986,137,49,46,-7,36,14,272,11,3,70,1980
43,We Are The World,U.S.A. For Africa,,,1953.5,31.5,1985,73,45,53,-15,7,29,427,19,4,69,1980
44,Stuck On You,Lionel Richie,adult standards,adult standards,1949,34,1983,132,32,51,-16,9,25,192,62,3,69,1980
45,Hurts So Good,John Mellencamp,rock,album rock,1951,31,1982,125,74,79,-5,11,97,219,4,4,69,1980
46,How Am I Supposed to Live Without You,Michael Bolton,adult standards,adult standards,1953,36,1989,140,44,54,-12,11,23,256,19,3,69,1980
47,Hysteria,Def Leppard,rock,album rock,1959.5,27.5,1987,107,85,66,-6,20,66,355,3,3,68,1980
48,Nikita,Elton John,rock,glam rock,1947,38,1985,87,66,63,-9,7,75,343,12,3,68,1980
49,Dancing With Myself,Billy Idol,rock,album rock,1955,30,1985,177,70,51,-11,30,91,360,2,8,68,1980
50,I'll Be Over You,TOTO,rock,album rock,1952,34,1986,82,28,52,-18,26,41,230,6,3,68,1980
51,Kids In America,Kim Wilde,dance pop,dance pop,1960,21,1981,160,78,56,-4,12,31,206,10,5,68,1980
52,St. Elmos Fire (Man in Motion),John Parr,rock,album rock,1952,33,1985,111,60,61,-11,22,47,252,15,3,68,1980
53,One More Night - 2016 Remaster,Phil Collins,folk,mellow gold,1951,34,1985,136,44,53,-9,10,34,289,79,3,68,1980
54,Where Do Broken Hearts Go,Whitney Houston,dance pop,dance pop,1963,24,1987,62,39,46,-12,7,25,278,63,3,67,1980
55,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,adult standards,1942,38,1980,151,43,63,-16,11,95,264,23,4,67,1980
56,Brother Louie,Modern Talking,dance pop,eurodance,1955,31,1986,109,84,78,-9,14,83,223,40,5,67,1980
57,Running Up That Hill (A Deal With God),Kate Bush,pop,art pop,1958,27,1985,108,55,63,-13,6,20,299,72,6,67,1980
58,End Of The Line,Traveling Wilburys,rock,album rock,1943.4,44.6,1988,167,84,58,-7,6,93,210,16,5,67,1980
59,Every Breath You Take,The Police,rock,album rock,1949.666667,33.33333333,1983,117,48,82,-9,8,72,252,56,3,67,1980
60,"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,rock,album rock,1944,38,1982,140,31,63,-12,7,24,233,61,3,67,1980
61,Woman in Love,Barbra Streisand,adult standards,adult standards,1942,38,1980,170,28,47,-16,13,33,232,25,3,67,1980
62,Cheri Cheri Lady,Modern Talking,dance pop,eurodance,1955,30,1985,114,62,68,-14,35,85,226,46,3,66,1980
63,Higher Love - Single Version,Steve Winwood,rock,album rock,1948,38,1986,99,89,70,-7,50,92,252,6,4,66,1980
64,That's What Friends Are For,Dionne Warwick,adult standards,adult standards,1940,45,1985,120,24,68,-16,7,17,256,51,3,66,1980
65,Slave To Love,Bryan Ferry,rock,album rock,1945,40,1985,148,82,66,-6,5,79,266,18,3,66,1980
66,Big in Japan,Alphaville,rock,dance rock,1954,30,1984,98,41,75,-15,34,24,286,7,4,65,1980
67,Only You,Yazoo,rock,dance rock,1960.5,21.5,1982,106,31,75,-17,8,85,194,33,4,65,1980
68,Valerie,Steve Winwood,rock,album rock,1948,34,1982,116,53,72,-11,8,73,247,57,3,65,1980
69,Gold,Spandau Ballet,rock,dance rock,1959.5,23.5,1983,143,74,71,-8,10,64,231,26,4,65,1980
70,Nothing's Gonna Change My Love For You,Glenn Medeiros,rock,soft rock,1970,16,1986,142,43,45,-13,6,39,232,57,4,64,1980
71,Sledgehammer,Peter Gabriel,rock,album rock,1950,36,1986,96,69,66,-5,4,42,314,2,3,64,1980
72,Rhythm Of The Night,DeBarge,disco,disco,1961,24,1985,115,76,71,-12,8,96,229,8,5,64,1980
73,Jessie's Girl,Rick Springfield,rock,album rock,1949,32,1981,132,59,72,-14,10,85,194,33,5,64,1980
74,It's Raining Men,The Weather Girls,disco,disco,1947.5,48.5,1996,136,93,68,-6,70,61,211,32,12,64,1980
75,Sunshine Reggae,Laid Back,pop,classic danish pop,1948,35,1983,168,79,70,-6,8,93,258,10,4,64,1980
76,Wonderful Life,Black,rock,dance rock,1962,25,1987,106,52,72,-12,21,82,288,71,3,64,1980
77,The Riddle,Nik Kershaw,rock,dance rock,1958,26,1984,102,66,58,-8,14,90,235,12,3,63,1980
78,Papa Don't Preach,Madonna,dance pop,dance pop,1958,28,1986,122,91,81,-9,2,97,345,31,4,63,1980
79,Didn't We Almost Have It All,Whitney Houston,dance pop,dance pop,1963,24,1987,131,49,54,-10,14,34,305,42,3,63,1980
80,All Right,Christopher Cross,adult standards,adult standards,1951,32,1983,133,65,71,-5,23,50,254,17,4,63,1980
81,Biggest Part of Me,Ambrosia,adult standards,adult standards,1951.25,28.75,1980,153,72,50,-8,35,88,324,24,5,63,1980
